,Coordinates,Coordinates,Coordinates,Results
,Radius,Theta,Phi,Int.En.
47,6.0,45.0,0.0,0.0140321112267054
48,7.0,45.0,0.0,0.0140321112267054
49,8.0,45.0,0.0,0.0140321112267054
50,9.0,45.0,0.0,0.0140321112267054
51,10.0,45.0,0.0,0.0140321112267054
52,12.0,45.0,0.0,0.0140321112267054
53,15.0,45.0,0.0,0.0140321112267054
54,20.0,45.0,0.0,0.0140321112267054
55,30.0,45.0,0.0,0.0140321112267054
56,1.0,60.0,0.0,0.0140321112267054
57,2.0,60.0,0.0,0.0140321112267054
58,3.0,60.0,0.0,0.0140321112267054
59,4.0,60.0,0.0,0.0140321112267054
60,5.0,60.0,0.0,0.0140321112267054
61,6.0,60.0,0.0,0.0140321112267054
62,7.0,60.0,0.0,0.0140321112267054
63,8.0,60.0,0.0,0.0140321112267054
64,9.0,60.0,0.0,0.0140321112267054
65,10.0,60.0,0.0,0.0140321112267054
66,12.0,60.0,0.0,0.0140321112267054
67,15.0,60.0,0.0,0.0140321112267054
68,20.0,60.0,0.0,0.0140321112267054
69,30.0,60.0,0.0,0.0140321112267054
70,1.0,75.0,0.0,0.0140321112267054
71,2.0,75.0,0.0,0.0140321112267054
72,3.0,75.0,0.0,0.0140321112267054
73,4.0,75.0,0.0,0.0140321112267054
74,5.0,75.0,0.0,0.0140321112267054
75,6.0,75.0,0.0,0.0140321112267054
76,7.0,75.0,0.0,0.0140321112267054
77,8.0,75.0,0.0,0.0140321112267054
78,9.0,75.0,0.0,0.0140321112267054
79,10.0,75.0,0.0,0.0140321112267054
80,12.0,75.0,0.0,0.0140321112267054
81,15.0,75.0,0.0,0.0140321112267054
82,20.0,75.0,0.0,0.0140321112267054
83,30.0,75.0,0.0,0.0140321112267054
84,1.0,90.0,0.0,0.0140321112267054
85,2.0,90.0,0.0,0.0140321112267054
86,3.0,90.0,0.0,0.0140321112267054
87,4.0,90.0,0.0,0.0140321112267054
88,5.0,90.0,0.0,0.0140321112267054
89,6.0,90.0,0.0,0.0140321112267054
90,7.0,90.0,0.0,0.0140321112267054
91,8.0,90.0,0.0,0.0140321112267054
92,9.0,90.0,0.0,0.0140321112267054
93,10.0,90.0,0.0,0.0140321112267054
94,12.0,90.0,0.0,0.0140321112267054
95,15.0,90.0,0.0,0.0140321112267054
96,20.0,90.0,0.0,0.0140321112267054
97,30.0,90.0,0.0,0.0140321112267054
98,1.0,105.0,0.0,0.0140321112267054
99,2.0,105.0,0.0,0.0140321112267054
100,3.0,105.0,0.0,0.0140321112267054
101,4.0,105.0,0.0,0.0140321112267054
102,5.0,105.0,0.0,0.0140321112267054
103,6.0,105.0,0.0,0.0140321112267054
104,7.0,105.0,0.0,0.0140321112267054
105,8.0,105.0,0.0,0.0140321112267054
106,9.0,105.0,0.0,0.0140321112267054
107,10.0,105.0,0.0,0.0140321112267054
108,12.0,105.0,0.0,0.0140321112267054
109,15.0,105.0,0.0,0.0140321112267054
110,20.0,105.0,0.0,0.0140321112267054
111,30.0,105.0,0.0,0.0140321112267054
112,1.0,120.0,0.0,0.0140321112267054
113,2.0,120.0,0.0,0.0140321112267054
114,3.0,120.0,0.0,0.0140321112267054
115,4.0,120.0,0.0,0.0140321112267054
116,5.0,120.0,0.0,0.0140321112267054
117,6.0,120.0,0.0,0.0140321112267054
118,7.0,120.0,0.0,0.0140321112267054
119,8.0,120.0,0.0,0.0140321112267054
120,9.0,120.0,0.0,0.0140321112267054
121,10.0,120.0,0.0,0.0140321112267054
122,12.0,120.0,0.0,0.0140321112267054
123,15.0,120.0,0.0,0.0140321112267054
124,20.0,120.0,0.0,0.0140321112267054
125,30.0,120.0,0.0,0.0140321112267054
126,1.0,135.0,0.0,0.0140321112267054
127,2.0,135.0,0.0,0.0140321112267054
128,3.0,135.0,0.0,0.0140321112267054
129,4.0,135.0,0.0,0.0140321112267054
130,5.0,135.0,0.0,0.0140321112267054
131,6.0,135.0,0.0,0.0140321112267054
132,7.0,135.0,0.0,0.0140321112267054
133,8.0,135.0,0.0,0.0140321112267054
134,9.0,135.0,0.0,0.0140321112267054
135,10.0,135.0,0.0,0.0140321112267054
136,12.0,135.0,0.0,0.0140321112267054
137,15.0,135.0,0.0,0.0140321112267054
138,20.0,135.0,0.0,0.0140321112267054
139,30.0,135.0,0.0,0.0140321112267054
140,1.0,150.0,0.0,0.0140321112267054
141,2.0,150.0,0.0,0.0140321112267054
142,3.0,150.0,0.0,0.0140321112267054
143,4.0,150.0,0.0,0.0140321112267054
144,5.0,150.0,0.0,0.0140321112267054
145,6.0,150.0,0.0,0.0140321112267054
