,Coordinates,Coordinates,Coordinates,Results
,Radius,Theta,Phi,Int.En.
77,8.0,75.0,0.0,1083.24892991287
78,9.0,75.0,0.0,194.799035862977
79,10.0,75.0,0.0,19.2229621097641
80,12.0,75.0,0.0,-15.0334644717501
81,15.0,75.0,0.0,-6.22820850522029
82,20.0,75.0,0.0,-1.52131802529677
83,30.0,75.0,0.0,-0.41791463564851
84,1.0,90.0,0.0,20000267420295.8
85,2.0,90.0,0.0,5269372837.44973
86,3.0,90.0,0.0,144845784.725852
87,4.0,90.0,0.0,12512316.3576598
88,5.0,90.0,0.0,1101444.26467842
89,6.0,90.0,0.0,117560.561720035
90,7.0,90.0,0.0,15826.9776096566
91,8.0,90.0,0.0,2569.94782222919
92,9.0,90.0,0.0,457.740796043426
93,10.0,90.0,0.0,71.2028560328276
94,12.0,90.0,0.0,-13.1597738759387
95,15.0,90.0,0.0,-6.48005503927498
96,20.0,90.0,0.0,-1.56123493621975
97,30.0,90.0,0.0,-0.351293079147495
98,1.0,105.0,0.0,20000701813739.6
99,2.0,105.0,0.0,11328354390.4729
100,3.0,105.0,0.0,4215481288.74136
101,4.0,105.0,0.0,294564968.837024
102,5.0,105.0,0.0,13567003.7950344
103,6.0,105.0,0.0,844966.53863558
104,7.0,105.0,0.0,77388.5552015705
105,8.0,105.0,0.0,9728.81397720839
106,9.0,105.0,0.0,1521.07652694787
107,10.0,105.0,0.0,259.152269832883
108,12.0,105.0,0.0,-6.18354544594872
109,15.0,105.0,0.0,-6.8896542515634
110,20.0,105.0,0.0,-1.62510498124528
111,30.0,105.0,0.0,-0.393837614874668
112,1.0,120.0,0.0,20001848594163.8
113,2.0,120.0,0.0,206607853185.214
114,3.0,120.0,0.0,1177116924567.47
115,4.0,120.0,0.0,24582070900.6817
116,5.0,120.0,0.0,263380307.037483
117,6.0,120.0,0.0,6832714.40483395
118,7.0,120.0,0.0,372433.804357296
119,8.0,120.0,0.0,33976.7170113063
120,9.0,120.0,0.0,4380.67218932948
121,10.0,120.0,0.0,693.310321394422
122,12.0,120.0,0.0,8.53051816627255
123,15.0,120.0,0.0,-7.26649823759183
124,20.0,120.0,0.0,-1.69166580934272
125,30.0,120.0,0.0,-0.358085007407453
126,1.0,135.0,0.0,20003411829262.3
127,2.0,135.0,0.0,5518031073740.55
128,3.0,135.0,0.0,1.16606425267227e+17
129,4.0,135.0,0.0,5723614707335.68
