,Radius,Theta,Phi,LMP.Int.En.
268,20.0,60,30,-0.376340860175484
269,30.0,60,30,-0.240942969711457
270,3.0,75,30,108266.642443264
271,3.5,75,30,18176.3836717673
272,4.0,75,30,3867.75001860786
273,4.5,75,30,921.032573846119
274,5.0,75,30,221.332207083395
275,5.5,75,30,45.5942097765039
276,6.0,75,30,2.64891344803912
277,7.0,75,30,-6.1142776828881
278,8.0,75,30,-3.42676701833665
279,9.0,75,30,-1.84545020904243
280,10.0,75,30,-1.15356615989364
281,12.0,75,30,-0.688851900437135
282,15.0,75,30,-0.499027212180535
283,20.0,75,30,-0.375819898690466
284,30.0,75,30,-0.273282124377043
285,3.0,90,30,300871.731020193
286,3.5,90,30,81861.3238914271
287,4.0,90,30,22716.6559238268
288,4.5,90,30,6240.65534491864
289,5.0,90,30,1701.3235630779
290,5.5,90,30,455.344440436149
291,6.0,90,30,114.061030760636
292,7.0,90,30,-0.439092313001939
293,8.0,90,30,-4.48170168429387
294,9.0,90,30,-2.54221530522512
295,10.0,90,30,-1.44984933686679
296,12.0,90,30,-0.738490253526351
297,15.0,90,30,-0.50350649592992
298,20.0,90,30,-0.37573352589948
299,30.0,90,30,-0.237345021612208
300,3.0,105,30,4745958.32882659
301,3.5,105,30,1477795.10514002
302,4.0,105,30,372672.545982207
303,4.5,105,30,86878.965334903
304,5.0,105,30,20183.2615664102
305,5.5,105,30,4818.18640660526
306,6.0,105,30,1182.44345433049
307,7.0,105,30,66.085406315098
308,8.0,105,30,-2.41018757337538
309,9.0,105,30,-3.55542376066198
310,10.0,105,30,-1.98054174114265
311,12.0,105,30,-0.825737129272018
312,15.0,105,30,-0.511306929358591
313,20.0,105,30,-0.376367327578274
314,30.0,105,30,-0.258979878970344
315,3.0,120,30,263305367.759789
316,3.5,120,30,70768707.5830683
317,4.0,120,30,11994101.9735078
318,4.5,120,30,1811003.57685477
319,5.0,120,30,287626.03100595
320,5.5,120,30,50763.6068458121
321,6.0,120,30,9987.71705177568
322,7.0,120,30,485.151056759865
323,8.0,120,30,19.270534101847
324,9.0,120,30,-3.83255424749683
325,10.0,120,30,-2.68279857415497
326,12.0,120,30,-0.94735230409935
327,15.0,120,30,-0.520977173883199
328,20.0,120,30,-0.377279187420497
329,30.0,120,30,-0.240721513314602
330,3.0,135,30,38865091251.6489
331,3.5,135,30,6798958390.14264
332,4.0,135,30,473977326.051895
333,4.5,135,30,32749393.8805686
334,5.0,135,30,2928033.27583005
335,5.5,135,30,344386.632022352
336,6.0,135,30,50972.5222177032
337,7.0,135,30,1803.11135855749
338,8.0,135,30,80.7224852485019
339,9.0,135,30,-1.81644477833321
340,10.0,135,30,-3.22976003768559
341,12.0,135,30,-1.06143963412315
342,15.0,135,30,-0.528597301756037
343,20.0,135,30,-0.377243604496045
344,30.0,135,30,-0.241226633523371
345,3.0,150,30,522808789550.734
346,3.5,150,30,61919592142.7569
347,4.0,150,30,2238706658.20566
348,4.5,150,30,97877114.4294409
349,5.0,150,30,6596009.65605447
350,5.5,150,30,649474.188770887
351,6.0,150,30,85601.1150232553
352,7.0,150,30,2664.21692965382
353,8.0,150,30,116.580612751421
354,9.0,150,30,-0.379275463720933
355,10.0,150,30,-3.37431883754992
356,12.0,150,30,-1.09811346277458
357,15.0,150,30,-0.529348246978052
358,20.0,150,30,-0.375709889316517
359,30.0,150,30,-0.240416940798584
360,3.0,165,30,9943043965.47384
361,3.5,165,30,2025555393.75764
362,4.0,165,30,188958457.17872
363,4.5,165,30,16478158.9498346
364,5.0,165,30,1725318.48602483
365,5.5,165,30,225468.018390923
366,6.0,165,30,35836.340805937
367,7.0,165,30,1373.0849168517
368,8.0,165,30,61.7527073070731
369,9.0,165,30,-2.52288768973017
370,10.0,165,30,-3.10952712481172
371,12.0,165,30,-1.02802955749444
372,15.0,165,30,-0.521512014920577
373,20.0,165,30,-0.373172958586962
374,30.0,165,30,-0.258842419136179
375,3.0,175,30,358341777.652477
376,3.5,175,30,94632128.1939894
377,4.0,175,30,15392199.0266046
378,4.5,175,30,2229896.19630063
379,5.0,175,30,342393.446772745
380,5.5,175,30,58900.6856661267
381,6.0,175,30,11373.6653994906
382,7.0,175,30,541.515382955838
383,8.0,175,30,22.1541599497082
384,9.0,175,30,-3.75488636850033
385,10.0,175,30,-2.71210186073819
386,12.0,175,30,-0.943653243168174
387,15.0,175,30,-0.512954907479014
388,20.0,175,30,-0.371351739504041
389,30.0,175,30,-0.237911735391084
390,3.0,5,45,27245977979233.1
391,3.5,5,45,2674329701.17056
392,4.0,5,45,10772692.3931959
393,4.5,5,45,217806.888331691
394,5.0,5,45,10072.2428914134
395,5.5,5,45,720.576217615932
396,6.0,5,45,53.5283936575063
397,7.0,5,45,-5.65247944796845
398,8.0,5,45,-2.56503950623924
399,9.0,5,45,-1.36684688217823
400,10.0,5,45,-0.943161784968904
401,12.0,5,45,-0.654234683400516
402,15.0,5,45,-0.498316404910019
403,20.0,5,45,-0.375792428748105
404,30.0,5,45,-0.241008401155531
405,3.0,15,45,5514217619.83611
406,3.5,15,45,79492756.3334738
407,4.0,15,45,1597410.40638147
408,4.5,15,45,62705.7304530482
409,5.0,15,45,4019.3852203027
410,5.5,15,45,335.101724308444
411,6.0,15,45,21.8711649168958
412,7.0,15,45,-5.57611416325479
413,8.0,15,45,-2.48810574792195
414,9.0,15,45,-1.354388516158
415,10.0,15,45,-0.941863996457587
416,12.0,15,45,-0.65460504707251
417,15.0,15,45,-0.498650481982208
418,20.0,15,45,-0.37612333097897
419,30.0,15,45,-0.261358343603453
420,3.0,30,45,2733345.74780032
421,3.5,30,45,325565.211510604
422,4.0,30,45,31846.4102885931
423,4.5,30,45,3340.0665292041
424,5.0,30,45,379.673305858344
425,5.5,30,45,34.5418842697634
426,6.0,30,45,-5.42963939703449
427,7.0,30,45,-5.05564322564015
428,8.0,30,45,-2.32424615384519
429,9.0,30,45,-1.32585585127036
430,10.0,30,45,-0.936323192132039
431,12.0,30,45,-0.653034909218513
432,15.0,30,45,-0.497864406311073
433,20.0,30,45,-0.376465335250515
434,30.0,30,45,-0.242139966230128
435,3.0,45,45,112039.282701935
436,3.5,45,45,16499.1182754097
437,4.0,45,45,2702.06414103477
438,4.5,45,45,457.689991511926
439,5.0,45,45,67.8418289927797
