,Radius,Theta,Phi,"('OPT', 'INT.EN.')",LMP,Coulomb,Delta.Ener.
644,6.0,60.0,0.0,-3.2302861518583086,-6.84043334566941,-2.3999408920366467,3.610147193811102
645,7.0,60.0,0.0,-2.908227417137823,-5.662767375550571,-2.0570921931742685,2.7545399584127477
646,8.0,60.0,0.0,-2.4227401619864395,-2.8429670500801096,-1.799955669027485,0.42022688809367015
647,9.0,60.0,0.0,-1.9869194061502642,-1.5800310478031299,-1.5999605946910977,0.4068883583471343
648,10.0,60.0,0.0,-1.7138735967964749,-1.04714683575482,-1.4399645352219879,0.666726761041655
649,12.0,60.0,0.0,-1.3600071926812234,-0.6732423719799289,-1.1999704460183234,0.6867648207012945
650,15.0,60.0,0.0,-1.0504211831430441,-0.499564935464757,-0.9599763568146586,0.5508562476782871
651,20.0,60.0,0.0,-0.7652609490869509,-0.37680575321546994,-0.7199822676109939,0.3884551958714809
652,4.0,60.0,30.0,-1.6973075553323724,2232.94638463567,-3.59991133805497,2234.643692191002
653,4.5,60.0,30.0,-2.9459174725307093,420.510053984765,-3.1999211893821955,423.45597145729573
654,5.0,60.0,30.0,-3.3474477322415623,72.8317828355406,-2.8799290704439757,76.17923056778216
655,5.5,60.0,30.0,-3.368124687593081,3.9447428489044203,-2.618117336767251,7.312867536497501
656,6.0,60.0,30.0,-3.193840377905872,-7.43761028694168,-2.3999408920366467,4.243769909035807
657,7.0,60.0,30.0,-2.728484451712575,-5.359514701048361,-2.0570921931742685,2.6310302493357858
658,8.0,60.0,30.0,-2.2365695787411823,-2.6677712382015,-1.799955669027485,0.43120165946031763
659,9.0,60.0,30.0,-1.8882400522124956,-1.50321328606022,-1.5999605946910977,0.3850267661522755
660,10.0,60.0,30.0,-1.6494521370186703,-1.01372160614581,-1.4399645352219879,0.6357305308728602
661,12.0,60.0,30.0,-1.329034159080038,-0.66526654354022,-1.1999704460183234,0.6637676155398181
662,15.0,60.0,30.0,-1.0359305350430077,-0.497533299747904,-0.9599763568146586,0.5383972352951036
663,20.0,60.0,30.0,-0.7599826694640797,-0.37634086017548396,-0.7199822676109939,0.3836418092885957
