num,grad_rho,rho,type,x,y,z
27,"['-5.9631119487E-19', '-2.7899571217E-17', '4.9593779062E-18']",0.053384071877,RCP,6.08479422477404,0.517097455836038,-0.615104341513047
28,"['3.9031278209E-17', '1.3228621757E-16', '-1.2099696245E-16']",0.29486158393,BCP,6.05372825888838,2.1508729986196,-1.432863986319
29,"['2.3635607360E-15', '1.1750041044E-14', '9.5919366200E-15']",0.34001888276,BCP,6.31178154420194,-0.358015801845844,0.973526978346447
30,"['-2.9273458657E-16', '-4.7782144994E-16', '6.8250526758E-17']",0.33711792628,BCP,6.42148051684487,1.02107214668278,1.10829746029641
31,"['1.4447671575E-16', '2.9979778256E-17', '8.7117338625E-17']",0.23932095511,BCP,6.52439686810768,4.19049469302924,1.04276974182464
32,"['-9.4705059767E-17', '2.6571084742E-16', '1.8336569242E-17']",0.2897016482,BCP,7.56868388843364,5.65878252030661,0.782550315635766
33,"['5.7812624452E-15', '-8.8694768083E-16', '2.6599107133E-14']",0.28937759691,BCP,6.88592241865192,4.85087880096968,2.6812223346367
34,"['-1.7889335846E-15', '1.0524350488E-15', '-1.8735013541E-16']",0.29030436232,BCP,5.42774190407915,5.63927424193558,1.26252851955925
35,"['-5.9983485193E-17', '2.5758271926E-18', '-3.9275223698E-17']",0.22963707256,BCP,5.76766168889709,-3.4297764382157,0.34500617561526
36,"['-1.7054500173E-16', '-2.1540047849E-18', '-2.3544127802E-17']",0.2989197884,BCP,6.63402522175711,0.138257062747726,2.85397206984411
37,"['-1.4907779872E-17', '9.7845857935E-17', '-1.4520855221E-16']",0.2951826739,BCP,5.43092181960169,-1.34062279803644,-3.55604223778032
38,"['1.8594067258E-17', '1.7969973383E-16', '7.0256300777E-17']",0.29478708209,BCP,5.79117684869969,2.96427774807518,-3.15492979725047
39,"['-3.1550283219E-17', '1.0744443529E-16', '-7.6978354246E-18']",0.25471973558,BCP,4.10273809060342,-4.58236940302505,0.622723183210477
40,"['-4.4262553692E-17', '2.1660665340E-16', '2.9465226916E-16']",0.29006865003,BCP,6.22798687061227,-4.47128390553487,1.71515223129545
41,"['8.7397537124E-16', '-8.8107689547E-16', '-8.1531810142E-16']",0.29092562189,BCP,6.24734862066121,-5.00769425495227,-0.363438394004574
42,"['-1.3758525569E-16', '-3.3562833502E-17', '5.0523821238E-17']",0.28259353504,BCP,2.21514761761241,-4.12448039007411,1.59153772851571
43,"['-3.8749385645E-16', '-1.4495511996E-15', '3.9624878899E-16']",0.28125650313,BCP,2.66121761779708,-6.13175353143719,1.01443245371374
44,"['6.2883726004E-18', '-2.5261910619E-17', '4.2161911983E-17']",0.28259962656,BCP,2.2303989320562,-4.66673180108692,-0.472369291452244
45,"['1.5547077989E-16', '-4.4444480487E-17', '2.5181947400E-16']",0.00022177922872,BCP,-1.1624002382235,-2.25103941684347,0.446172072935209
46,"['-4.4532055753E-16', '2.0266917624E-16', '7.0221254789E-17']",0.1345353803,BCP,-6.39120731637217,0.0893456182611262,-0.0462369514356529
47,"['-9.0183006667E-17', '-4.0096957601E-16', '-5.5944007091E-17']",0.14880579988,BCP,-7.3542414086042,1.12746508226912,0.238979295187827
