,Radius,Theta,Phi,DFT,LMP,Coulomb,Delta.Ener.
51,15.0,90.0,0.0,-1.0323004273013794,-0.492068164137948,-0.9599763568146586,0.5402322631634313
52,20.0,90.0,0.0,-0.7470736777322601,-0.37560680243021705,-0.7199822676109939,0.37146687530204303
53,30.0,90.0,0.0,-0.4797355300652271,-0.23618391699500502,-0.4799881784073293,0.2435516130702221
54,3.0,90.0,90.0,-3.628651351857117,-1.99818564635423,-4.7998817840732935,1.6304657055028868
55,4.0,90.0,90.0,-3.3097875549501623,-1.58962318101098,-3.59991133805497,1.7201643739391823
56,5.0,90.0,90.0,-2.8486703953349206,-1.315834085396,-2.8799290704439757,1.5328363099389206
57,6.0,90.0,90.0,-2.4086191152491665,-1.11970688091331,-2.3999408920366467,1.2889122343358566
58,7.0,90.0,90.0,-2.031779419576196,-0.972940505185251,-2.0570921931742685,1.058838914390945
59,8.0,90.0,90.0,-1.767650675294135,-0.8594543040064799,-1.799955669027485,0.9081963712876551
60,9.0,90.0,90.0,-1.5508564444862714,-0.7693992645632299,-1.5999605946910977,0.7814571799230414
61,10.0,90.0,90.0,-1.3970268683660834,-0.6964195673584771,-1.4399645352219879,0.7006073010076063
62,12.0,90.0,90.0,-1.1660925727883296,-0.58589562851317,-1.1999704460183234,0.5801969442751596
63,15.0,90.0,90.0,-0.9332459725701484,-0.47523074448146,-0.9599763568146586,0.4580152280886884
64,20.0,90.0,90.0,-0.7168085211269499,-0.36698854970079997,-0.7199822676109939,0.34981997142614996
65,30.0,90.0,90.0,-0.47873830896060104,-0.22014822482986202,-0.4799881784073293,0.25859008413073903
66,3.0,90.0,180.0,-1.9270277387258832,-1.90324211946377,-4.7998817840732935,0.02378561926211309
67,4.0,90.0,180.0,-3.0740906763312523,-1.51123410229413,-3.59991133805497,1.5628565740371223
68,5.0,90.0,180.0,-2.9524981843242126,-1.2525655807724798,-2.8799290704439757,1.6999326035517328
69,6.0,90.0,180.0,-2.461007501486165,-1.06860534151418,-2.3999408920366467,1.392402159971985
70,7.0,90.0,180.0,-2.1006520063092458,-0.931292170753455,-2.0570921931742685,1.1693598355557908
71,8.0,90.0,180.0,-1.7624825174316356,-0.8251199975783191,-1.799955669027485,0.9373625198533165
72,9.0,90.0,180.0,-1.5404964358021969,-0.740766121097376,-1.5999605946910977,0.7997303147048208
73,10.0,90.0,180.0,-1.3794579567111214,-0.672282886179167,-1.4399645352219879,0.7071750705319544
74,12.0,90.0,180.0,-1.1279251915875648,-0.5682582164501789,-1.1999704460183234,0.5596669751373858
75,15.0,90.0,180.0,-0.9013338604345336,-0.463600209396808,-0.9599763568146586,0.43773365103772555
76,20.0,90.0,180.0,-0.6949178590512021,-0.360617881964152,-0.7199822676109939,0.33429997708705006
77,30.0,90.0,180.0,-0.4680396382500476,-0.220172888896452,-0.4799881784073293,0.24786674935359557
78,3.0,90.0,270.0,-3.629429466880538,-1.99818564635423,-4.7998817840732935,1.6312438205263078
79,4.0,90.0,270.0,-3.358986159928463,-1.58962318101098,-3.59991133805497,1.7693629789174832
80,5.0,90.0,270.0,-2.7389133296928776,-1.315834085396,-2.8799290704439757,1.4230792442968776
81,6.0,90.0,270.0,-2.2518691315490287,-1.11970688091331,-2.3999408920366467,1.1321622506357187
82,7.0,90.0,270.0,-1.9383289321049235,-0.972940505185251,-2.0570921931742685,0.9653884269196725
83,8.0,90.0,270.0,-1.7075795134078362,-0.8594543040064799,-1.799955669027485,0.8481252094013563
84,9.0,90.0,270.0,-1.5281572341700669,-0.7693992645632299,-1.5999605946910977,0.758757969606837
85,10.0,90.0,270.0,-1.3828299209162649,-0.6964195673584771,-1.4399645352219879,0.6864103535577878
86,12.0,90.0,270.0,-1.1622325315584021,-0.58589562851317,-1.1999704460183234,0.5763369030452321
87,15.0,90.0,270.0,-0.919344932619424,-0.47523074448146,-0.9599763568146586,0.44411418813796394
88,20.0,90.0,270.0,-0.6900420766432944,-0.36698854970079997,-0.7199822676109939,0.32305352694249445
89,30.0,90.0,270.0,-0.4559991741007252,-0.22014822482986202,-0.4799881784073293,0.2358509492708632
90,3.0,175.0,0.0,-2.677254179343436,-2.8134377759123304,-4.7998817840732935,0.13618359656889423
91,4.0,175.0,0.0,-3.663578937273997,-2.05164464917074,-3.59991133805497,1.611934288103257
92,5.0,175.0,0.0,-3.188527232330672,-1.57003093302739,-2.8799290704439757,1.618496299303282
93,6.0,175.0,0.0,-2.6135537968075373,-1.27168671800338,-2.3999408920366467,1.3418670788041573
94,7.0,175.0,0.0,-2.1794148787812446,-1.06952038107819,-2.0570921931742685,1.1098944977030547
95,8.0,175.0,0.0,-1.8111528922636355,-0.923920933574055,-1.799955669027485,0.8872319586895805
96,9.0,175.0,0.0,-1.5989518998758283,-0.814192130329348,-1.5999605946910977,0.7847597695464803
97,10.0,175.0,0.0,-1.4329517184232827,-0.728586616125813,-1.4399645352219879,0.7043651022974697
98,12.0,175.0,0.0,-1.1920006477048446,-0.603830959219873,-1.1999704460183234,0.5881696884849716
99,15.0,175.0,0.0,-0.952616408594622,-0.483854606088216,-0.9599763568146586,0.46876180250640603
100,20.0,175.0,0.0,-0.7141087026466266,-0.37029447306924895,-0.7199822676109939,0.3438142295773777
101,30.0,175.0,0.0,-0.4758760493896261,-0.237954006770421,-0.4799881784073293,0.23792204261920508
102,3.0,175.0,90.0,-2.635904255115747,-2.5093940182328702,-4.7998817840732935,0.126510236882877
103,4.0,175.0,90.0,-3.5791493807410006,-1.91618237680886,-3.59991133805497,1.6629670039321407
104,5.0,175.0,90.0,-3.1449790743827184,-1.5100871759305399,-2.8799290704439757,1.6348918984521785
105,6.0,175.0,90.0,-2.574929969097866,-1.23929748666271,-2.3999408920366467,1.335632482435156
106,7.0,175.0,90.0,-2.1742291995069536,-1.04979644565801,-2.0570921931742685,1.1244327538489436
107,8.0,175.0,90.0,-1.801912536877353,-0.9108695143382421,-1.799955669027485,0.8910430225391108
108,9.0,175.0,90.0,-1.5911632664901845,-0.805010342991853,-1.5999605946910977,0.7861529234983314
109,10.0,175.0,90.0,-1.4273577078129165,-0.7218209039816551,-1.4399645352219879,0.7055368038312614
110,12.0,175.0,90.0,-1.1861474241522956,-0.599771484732313,-1.1999704460183234,0.5863759394199826
111,15.0,175.0,90.0,-0.9483768855352536,-0.48163510110487995,-0.9599763568146586,0.4667417844303736
112,20.0,175.0,90.0,-0.7109554662820301,-0.369267362392145,-0.7199822676109939,0.3416881038898851
113,30.0,175.0,90.0,-0.4753005993225088,-0.23763891330623102,-0.4799881784073293,0.23766168601627777
114,3.0,175.0,180.0,-2.5254051866759246,-2.34624970734686,-4.7998817840732935,0.17915547932906462
115,4.0,175.0,180.0,-3.5304865461839654,-1.8278777415188,-3.59991133805497,1.7026088046651655
116,5.0,175.0,180.0,-3.104084682359826,-1.46371082622826,-2.8799290704439757,1.6403738561315657
117,6.0,175.0,180.0,-2.484603726981732,-1.21225336190604,-2.3999408920366467,1.272350365075692
118,7.0,175.0,180.0,-2.075264610379236,-1.03260930994709,-2.0570921931742685,1.0426553004321457
119,8.0,175.0,180.0,-1.7898597078674356,-0.8991818674278492,-1.799955669027485,0.8906778404395864
120,9.0,175.0,180.0,-1.5787700039945776,-0.7966328381763579,-1.5999605946910977,0.7821371658182197
121,10.0,175.0,180.0,-1.4165212223160784,-0.7155640417681841,-1.4399645352219879,0.7009571805478942
122,12.0,175.0,180.0,-1.1784743792886727,-0.595949516140817,-1.1999704460183234,0.5825248631478557
123,15.0,175.0,180.0,-0.9440617719701552,-0.479513707354927,-0.9599763568146586,0.4645480646152282
124,20.0,175.0,180.0,-0.7085621731821448,-0.368273671573231,-0.7199822676109939,0.3402885016089138
125,30.0,175.0,180.0,-0.4743357135084807,-0.23733179393032397,-0.4799881784073293,0.23700391957815672
126,3.0,175.0,270.0,-2.648047009592119,-2.5093940182328702,-4.7998817840732935,0.1386529913592489
127,4.0,175.0,270.0,-3.589077161046589,-1.9161823768088702,-3.59991133805497,1.6728947842377189
128,5.0,175.0,270.0,-3.1151245131004544,-1.5100871759305399,-2.8799290704439757,1.6050373371699145
129,6.0,175.0,270.0,-2.4899651210580487,-1.23929748666271,-2.3999408920366467,1.2506676343953387
130,7.0,175.0,270.0,-2.0804278484247334,-1.04979644565801,-2.0570921931742685,1.0306314027667234
131,8.0,175.0,270.0,-1.79530281229745,-0.9108695143382421,-1.799955669027485,0.8844332979592078
132,9.0,175.0,270.0,-1.5857211062939314,-0.805010342991853,-1.5999605946910977,0.7807107633020783
133,10.0,175.0,270.0,-1.4225764904149398,-0.7218209039816551,-1.4399645352219879,0.7007555864332847
134,12.0,175.0,270.0,-1.183766631958861,-0.599771484732313,-1.1999704460183234,0.5839951472265479
135,15.0,175.0,270.0,-0.9481238659027441,-0.48163510110487995,-0.9599763568146586,0.46648876479786416
136,20.0,175.0,270.0,-0.7115611155422812,-0.369267362392145,-0.7199822676109939,0.34229375315013616
137,30.0,175.0,270.0,-0.4754540416070086,-0.23763891330623102,-0.4799881784073293,0.23781512830077758
