,Radius,Theta,Phi,"[('OPT', 'INT.EN.')-('OPT', 'COUL.EN.')]",LMP,Coulomb,Delta.Ener.
2204,7.0,150.0,300.0,-0.07722220938759206,0.007895674683908959,-2.0570921931742685,0.08511788407150102
2205,8.0,150.0,300.0,-0.051347969680156424,0.011948359233189,-1.799955669027485,0.06329632891334543
2206,9.0,150.0,300.0,-0.03214144319360357,0.0132228831113431,-1.5999605946910977,0.04536432630494667
2207,10.0,150.0,300.0,-0.02403144720665895,0.0136836937362494,-1.4399645352219879,0.03771514094290835
2208,12.0,150.0,300.0,-0.012136438181358677,0.0139506785065056,-1.1999704460183234,0.02608711668786428
2209,15.0,150.0,300.0,-0.011473081799137086,0.0140183051007748,-0.9599763568146586,0.025491386899911886
2210,20.0,150.0,300.0,-0.007957242768650286,0.0140307053015895,-0.7199822676109939,0.021987948070239786
2211,3.0,150.0,315.0,-0.7879809603897132,-7.906079874471951,-4.7998817840732935,7.118098914082237
2212,3.5,150.0,315.0,-1.195034595167281,-4.26320137110412,-4.114184386348537,3.0681667759368394
2213,4.0,150.0,315.0,-1.2732960454593854,-1.35549656213444,-3.59991133805497,0.08220051667505457
2214,4.5,150.0,315.0,-1.060219580364555,-0.388052315494391,-3.1999211893821955,0.6721672648701641
2215,5.0,150.0,315.0,-0.8342505123923925,-0.12158493260111099,-2.8799290704439757,0.7126655797912814
2216,5.5,150.0,315.0,-0.5374586931196936,-0.0398132870597414,-2.618117336767251,0.4976454060599522
2217,6.0,150.0,315.0,-0.2898155368566804,-0.0103014499919861,-2.3999408920366467,0.27951408686469426
2218,7.0,150.0,315.0,-0.09495032372633538,0.007583266738029241,-2.0570921931742685,0.10253359046436462
2219,8.0,150.0,315.0,-0.041162267755806115,0.0118946480018291,-1.799955669027485,0.053056915757635215
2220,9.0,150.0,315.0,-0.01854886271428624,0.0132107970413245,-1.5999605946910977,0.031759659755610736
2221,10.0,150.0,315.0,-0.007735736616592659,0.0136803644023958,-1.4399645352219879,0.021416101018988457
2222,12.0,150.0,315.0,-0.020081069676363805,0.0139502878821473,-1.1999704460183234,0.034031357558511104
2223,15.0,150.0,315.0,-0.013348301517509542,0.0140182728983362,-0.9599763568146586,0.027366574415845744
2224,20.0,150.0,315.0,-0.008632905575932659,0.0140307037899642,-0.7199822676109939,0.02266360936589686
2225,3.0,165.0,0.0,-0.819347788509069,10.882759792612902,-4.7998817840732935,11.70210758112197
2226,3.5,165.0,0.0,-1.240024072048878,-6.1289022690032,-4.114184386348537,4.888878196954322
2227,4.0,165.0,0.0,-1.4409974485106782,-2.40868525527881,-3.59991133805497,0.9676878067681316
2228,4.5,165.0,0.0,-1.3159166765714754,-0.581546414699064,-3.1999211893821955,0.7343702618724114
2229,5.0,165.0,0.0,-1.0113129988252703,-0.157445984960232,-2.8799290704439757,0.8538670138650383
2230,5.5,165.0,0.0,-0.8255501486709371,-0.0476175202464969,-2.618117336767251,0.7779326284244402
2231,6.0,165.0,0.0,-0.5443779192693299,-0.012314575263583,-2.3999408920366467,0.5320633440057468
2232,7.0,165.0,0.0,-0.12832196147038166,0.00737819533628774,-2.0570921931742685,0.13570015680666941
2233,8.0,165.0,0.0,-0.06623042966573234,0.0118626662367156,-1.799955669027485,0.07809309590244794
2234,9.0,165.0,0.0,-0.03962141669146457,0.0132040502696336,-1.5999605946910977,0.052825466961098175
2235,10.0,165.0,0.0,-0.027294706705637495,0.0136785882176451,-1.4399645352219879,0.0409732949232826
2236,12.0,165.0,0.0,-0.01641376964299779,0.0139500913925211,-1.1999704460183234,0.03036386103551889
2237,15.0,165.0,0.0,0.007896629446768166,0.0140182574849653,-0.9599763568146586,0.0061216280381971334
2238,20.0,165.0,0.0,0.010873133270013713,0.0140307030967118,-0.7199822676109939,0.0031575698266980874
2239,3.0,165.0,30.0,-0.7663648141433201,-7.7604268957888305,-4.7998817840732935,6.99406208164551
2240,3.5,165.0,30.0,-1.2087033474544886,-4.739288012465599,-4.114184386348537,3.530584665011111
2241,4.0,165.0,30.0,-1.469420161151989,-1.5054241388400802,-3.59991133805497,0.03600397768809116
2242,4.5,165.0,30.0,-1.2522042291835564,-0.41709250397905895,-3.1999211893821955,0.8351117252044975
2243,5.0,165.0,30.0,-0.9753495614480752,-0.127351957421001,-2.8799290704439757,0.8479976040270741
2244,5.5,165.0,30.0,-0.7588556877756178,-0.0411352414149672,-2.618117336767251,0.7177204463606507
2245,6.0,165.0,30.0,-0.5484449854975857,-0.0106553673170226,-2.3999408920366467,0.5377896181805631
2246,7.0,165.0,30.0,-0.11410015224539727,0.00754547815668513,-2.0570921931742685,0.1216456304020824
2247,8.0,165.0,30.0,-0.030149867914091022,0.0118885917646131,-1.799955669027485,0.04203845967870412
2248,9.0,165.0,30.0,-0.007780898268901826,0.0132094972306939,-1.5999605946910977,0.020990395499595728
2249,10.0,165.0,30.0,-0.01810151636493451,0.0136800182290776,-1.4399645352219879,0.03178153459401211
2250,12.0,165.0,30.0,-0.014257027076755469,0.0139502490540754,-1.1999704460183234,0.02820727613083087
2251,15.0,165.0,30.0,-0.009038418305256979,0.0140182698245495,-0.9599763568146586,0.023056688129806477
2252,20.0,165.0,30.0,0.01293362909488771,0.0140307036513893,-0.7199822676109939,0.0010970745565015896
2253,3.0,165.0,45.0,-0.6987800450226076,-6.62483606827167,-4.7998817840732935,5.926056023249062
2254,3.5,165.0,45.0,-1.1971453588146734,-2.9906482934407004,-4.114184386348537,1.793502934626027
