,Coordinates,Coordinates,Coordinates,Results
,Radius,Theta,Phi,Int.En.
260,9.0,75.0,30.0,-0.985574069502198
261,10.0,75.0,30.0,-0.886036551343978
262,12.0,75.0,30.0,-0.737603010598302
263,15.0,75.0,30.0,-0.591095871772122
264,20.0,75.0,30.0,-0.44955845417546
265,30.0,75.0,30.0,-0.321002644426573
266,1.0,90.0,30.0,7093212.30770422
267,2.0,90.0,30.0,1751.43113022729
268,3.0,90.0,30.0,17.7586895934411
269,4.0,90.0,30.0,-1.2062742671671
270,5.0,90.0,30.0,-1.78706419994143
271,6.0,90.0,30.0,-1.5242632620028
272,7.0,90.0,30.0,-1.29630777575886
273,8.0,90.0,30.0,-1.12678232223195
274,9.0,90.0,30.0,-0.997182382540522
275,10.0,90.0,30.0,-0.894776637772877
276,12.0,90.0,30.0,-0.743148406999182
277,15.0,90.0,30.0,-0.594596064747804
278,20.0,90.0,30.0,-0.45217080663493
279,30.0,90.0,30.0,-0.306908516857595
280,1.0,105.0,30.0,7093279.98861444
281,2.0,105.0,30.0,2142.94116791597
282,3.0,105.0,30.0,186.217745779087
283,4.0,105.0,30.0,12.595076256115
284,5.0,105.0,30.0,-1.14860170913559
285,6.0,105.0,30.0,-1.55883447551187
286,7.0,105.0,30.0,-1.33980511907697
287,8.0,105.0,30.0,-1.1552973292216
288,9.0,105.0,30.0,-1.01617778315957
289,10.0,105.0,30.0,-0.908058075763427
290,12.0,105.0,30.0,-0.750342659777189
291,15.0,105.0,30.0,-0.597773563931488
292,20.0,105.0,30.0,-0.452522807923751
293,30.0,105.0,30.0,-0.316721685011094
294,1.0,120.0,30.0,7093447.89147366
295,2.0,120.0,30.0,8779.67631726856
296,3.0,120.0,30.0,9348.91382981024
297,4.0,120.0,30.0,445.434170916094
298,5.0,120.0,30.0,9.39923489579866
299,6.0,120.0,30.0,-1.30544016537713
300,7.0,120.0,30.0,-1.38587371661735
301,8.0,120.0,30.0,-1.1905541620127
302,9.0,120.0,30.0,-1.03845572159998
303,10.0,120.0,30.0,-0.922760898702485
304,12.0,120.0,30.0,-0.757523760438353
305,15.0,120.0,30.0,-0.600339896605042
306,20.0,120.0,30.0,-0.451995901372851
307,30.0,120.0,30.0,-0.303923965345988
308,1.0,135.0,30.0,7093703.81115317
309,2.0,135.0,30.0,102094.198485612
310,3.0,135.0,30.0,1311958.58285506
311,4.0,135.0,30.0,16684.7692944885
312,5.0,135.0,30.0,110.145911430423
313,6.0,135.0,30.0,0.274512897783395
314,7.0,135.0,30.0,-1.38900017507781
315,8.0,135.0,30.0,-1.21865974121397
316,9.0,135.0,30.0,-1.05577483773827
317,10.0,135.0,30.0,-0.933523096678761
318,12.0,135.0,30.0,-0.762351612477154
319,15.0,135.0,30.0,-0.602144652035074
320,20.0,135.0,30.0,-0.452522482974971
321,30.0,135.0,30.0,-0.305083875977022
322,1.0,150.0,30.0,7093817.30419744
323,2.0,150.0,30.0,271813.667541219
324,3.0,150.0,30.0,17392450.5552642
325,4.0,150.0,30.0,77415.1853267523
326,5.0,150.0,30.0,246.875403832243
327,6.0,150.0,30.0,1.65011804348139
328,7.0,150.0,30.0,-1.36849323648684
329,8.0,150.0,30.0,-1.22369142378457
330,9.0,150.0,30.0,-1.05824748388587
331,10.0,150.0,30.0,-0.934373172849102
332,12.0,150.0,30.0,-0.76223965602268
333,15.0,150.0,30.0,-0.602321829532679
334,20.0,150.0,30.0,-0.453995914548767
335,30.0,150.0,30.0,-0.307236254409977
336,1.0,165.0,30.0,7093636.18920805
337,2.0,165.0,30.0,55403.6152426772
338,3.0,165.0,30.0,339114.891430864
339,4.0,165.0,30.0,6733.94744764907
340,5.0,165.0,30.0,64.7259580066723
341,6.0,165.0,30.0,-0.302626323482397
342,7.0,165.0,30.0,-1.37896762865161
343,8.0,165.0,30.0,-1.20035805352174
344,9.0,165.0,30.0,-1.04183375609292
345,10.0,165.0,30.0,-0.922791198648055
