,Radius,Theta,Phi,"('OPT', 'INT.EN.')",LMP,Coulomb,Delta.Ener.
41,3.5,5.0,60.0,0.13654876501459512,-7.82450065471117,-4.114184386348537,7.961049419725765
42,4.0,5.0,60.0,-2.1818928945394878,-2.80627332625664,-3.59991133805497,0.6243804317171522
43,4.5,5.0,60.0,-3.1769255762701505,-2.1659801728706003,-3.1999211893821955,1.0109454033995502
44,5.0,5.0,60.0,-3.2478059850582213,-1.8152581243744799,-2.8799290704439757,1.4325478606837414
45,5.5,5.0,60.0,-3.097022859656136,-1.5739821611494198,-2.618117336767251,1.5230406985067162
46,6.0,5.0,60.0,-2.8055726783459245,-1.39500461730602,-2.3999408920366467,1.4105680610399045
47,7.0,5.0,60.0,-2.2733444526384123,-1.1439421491128001,-2.0570921931742685,1.1294023035256122
48,8.0,5.0,60.0,-1.9145700940935055,-0.974121520952043,-1.799955669027485,0.9404485731414626
49,9.0,5.0,60.0,-1.6675509904162027,-0.85058680992376,-1.5999605946910977,0.8169641804924427
50,10.0,5.0,60.0,-1.5010109867689607,-0.756305606359908,-1.4399645352219879,0.7447053804090528
51,12.0,5.0,60.0,-1.2373521042136415,-0.62154496353178,-1.1999704460183234,0.6158071406818615
52,15.0,5.0,60.0,-0.9824668555156676,-0.494305084158704,-0.9599763568146586,0.4881617713569636
53,20.0,5.0,60.0,-0.7330568859870255,-0.375544499288491,-0.7199822676109939,0.35751238669853447
54,3.5,5.0,90.0,0.04160848681567586,-7.82226470519712,-4.114184386348537,7.863873192012796
55,4.0,5.0,90.0,-2.2987219572314643,-2.80423164559909,-3.59991133805497,0.5055096883676256
56,4.5,5.0,90.0,-3.202056129368429,-2.1641190652721,-3.1999211893821955,1.037937064096329
57,5.0,5.0,90.0,-3.234383138955309,-1.81356152731969,-2.8799290704439757,1.420821611635619
58,5.5,5.0,90.0,-3.0485873517354776,-1.5724335689975,-2.618117336767251,1.4761537827379776
59,6.0,5.0,90.0,-2.771836021009221,-1.39358905624693,-2.3999408920366467,1.378246964762291
60,7.0,5.0,90.0,-2.2634431163569393,-1.14275201092013,-2.0570921931742685,1.1206911054368094
61,8.0,5.0,90.0,-1.916865790837619,-0.973112064273313,-1.799955669027485,0.943753726564306
62,9.0,5.0,90.0,-1.6756217596157512,-0.849723365860931,-1.5999605946910977,0.8258983937548202
